time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,507,7.428008,1,109,2,3,9
1,493,7.509128,1,179,2,3,9
2,513,7.206628,1,84,2,3,9
3,480,7.764583,1,201,2,3,10
4,492,7.652439,1,184,3,3,8
5,413,9.150121,1,246,2,4,10
6,502,7.492032,1,132,2,3,10
7,485,7.616495,1,162,2,3,9
8,512,7.261719,1,150,2,3,9
9,485,7.797938,1,137,2,3,9
10,509,7.359528,1,168,2,3,9
11,482,7.76556,1,174,2,3,10
12,497,7.474849,1,126,2,3,9
13,506,7.304348,1,102,2,3,9
14,529,7.041588,1,129,2,3,8
15,479,7.920668,1,177,2,3,10
16,445,8.31236,1,118,2,4,11
17,488,7.772541,1,227,2,3,9
18,494,7.57085,1,94,2,3,10
19,525,7.095238,1,124,2,3,9
20,473,7.915433,1,154,2,3,9
21,475,7.888421,1,129,2,3,10
22,538,6.858736,1,163,2,3,9
23,568,6.505282,1,202,2,3,8
24,494,7.643725,1,100,2,3,10
25,492,7.380081,1,106,2,3,9
26,485,7.859794,1,155,2,3,10
27,523,7.151052,1,195,2,3,9
28,462,8.177489,1,101,2,4,10
29,516,7.149225,1,131,2,3,8
30,519,7.098266,1,153,2,3,9
31,481,7.923077,1,117,2,3,9
32,487,7.570842,1,141,2,3,9
33,513,7.337232,1,135,2,3,9
34,532,6.979323,1,88,2,3,8
35,496,7.504032,1,116,2,3,9
36,492,7.510163,1,117,2,3,10
37,507,7.360947,1,178,2,3,10
38,468,7.933761,1,114,2,3,11
39,501,7.479042,1,212,2,3,9
40,513,7.358674,1,124,2,3,8
41,476,7.836134,1,205,2,3,10
42,500,7.52,1,200,2,3,9
43,522,7.028736,1,154,2,3,8
44,530,7.173585,1,237,2,3,9
45,469,7.959488,1,150,2,3,10
46,489,7.660532,1,125,2,3,9
47,537,6.849162,1,231,2,3,8
48,477,7.81761,1,195,2,3,10
49,426,8.960094,1,203,2,4,11
50,470,7.92766,1,230,2,3,10
51,499,7.366733,1,109,2,3,10
52,474,7.896624,1,122,2,3,10
53,507,7.473373,1,159,2,3,9
54,524,7.10687,1,192,2,3,8
55,491,7.672098,1,155,2,3,10
56,490,7.512245,1,122,2,3,9
57,482,7.732365,1,191,2,3,10
58,501,7.636727,1,150,2,3,9
59,437,8.487414,1,125,2,4,10
60,6,8,2,18,3,3,18
,486.5245902,7.585224066,1.016393443,151.2622951,2.032786885,3.081967213,9.442622951
