time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,1602,1.93633,1,11,1,2,2
1,1840,1.628261,0,8,1,2,2
2,1865,1.591957,1,7,1,2,2
3,1863,1.595276,1,7,1,2,2
4,1851,1.603998,1,7,1,2,2
5,1740,1.751149,1,9,1,2,2
6,1809,1.657822,1,7,1,2,2
7,1828,1.652079,1,7,1,2,2
8,1887,1.571277,0,8,1,2,2
9,1858,1.610334,1,8,1,2,2
10,1854,1.608414,0,7,1,2,2
11,1807,1.671278,0,7,1,2,2
12,1875,1.583467,1,8,1,2,2
13,1887,1.573397,1,8,1,2,2
14,1888,1.578919,0,8,1,2,2
15,1891,1.568482,1,7,1,2,2
16,1887,1.586116,1,7,1,2,2
17,1900,1.573684,1,7,1,2,2
18,1893,1.573693,1,8,1,2,2
19,1874,1.591782,1,8,1,2,2
20,1892,1.566068,1,7,1,2,2
21,1881,1.576289,1,7,1,2,2
22,1887,1.569687,0,7,1,2,2
23,1858,1.61141,1,8,1,2,2
24,1874,1.592316,1,7,1,2,2
25,1654,1.864571,1,8,1,2,2
26,1739,1.716504,1,7,1,2,2
27,1736,1.732143,1,8,1,2,2
28,1813,1.617761,1,8,1,2,2
29,1790,1.65419,1,7,1,2,2
30,1805,1.622161,1,15,1,2,2
31,1810,1.652486,1,17,1,2,2
32,1788,1.659955,1,12,1,2,2
33,1785,1.659384,1,8,1,2,2
34,1787,1.665921,1,8,1,2,2
35,1785,1.645938,1,8,1,2,2
36,1799,1.649805,1,8,1,2,2
37,1806,1.635659,1,8,1,2,2
38,1795,1.650139,1,8,1,2,2
39,1786,1.663494,1,8,1,2,2
40,1772,1.663093,1,9,1,2,2
41,1784,1.652466,1,8,1,2,2
42,1784,1.658072,1,8,1,2,2
43,1819,1.62122,1,8,1,2,2
44,1791,1.654383,1,8,1,2,2
45,1815,1.626997,1,8,1,2,2
46,1785,1.654342,0,9,1,2,2
47,1785,1.648179,1,8,1,2,2
48,1755,1.680342,1,10,1,2,2
49,1810,1.624862,1,8,1,2,2
50,1800,1.628333,1,8,1,2,2
51,1716,1.746503,1,9,1,2,2
52,1582,1.945638,1,9,1,2,2
53,1673,1.804543,1,9,1,2,2
54,1779,1.656549,1,9,1,2,2
55,1497,2.11022,1,11,1,2,3
56,1719,1.731821,0,9,1,2,2
57,1728,1.728588,1,8,1,2,2
58,1685,1.779822,1,9,1,2,2
59,1612,1.916873,1,9,1,2,2
60,17,2.117647,1,3,2,2,3
,1765.196721,1.674821131,0.868852459,8.278688525,1.016393443,2,2.032786885
