time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 230, 8.143478, 1, 21, 4, 8, 11
1, 232, 8.103448, 1, 25, 3, 8, 11
2, 190, 9.910526, 1, 25, 6, 10, 14
3, 210, 9.095238, 1, 25, 5, 9, 13
4, 240, 7.725000, 1, 22, 2, 7, 12
5, 211, 8.995261, 1, 27, 5, 8, 12
6, 230, 8.143478, 1, 22, 2, 8, 12
7, 215, 8.679070, 1, 28, 2, 8, 13
8, 204, 9.294118, 1, 23, 6, 9, 13
9, 205, 9.243902, 1, 26, 5, 9, 13
10, 213, 8.784038, 1, 30, 5, 8, 12
11, 232, 8.068966, 1, 25, 3, 8, 11
12, 218, 8.623853, 1, 24, 4, 8, 12
13, 252, 7.444444, 1, 26, 2, 7, 10
14, 241, 7.813278, 1, 27, 2, 7, 11
15, 221, 8.515837, 1, 26, 2, 8, 11
16, 244, 7.614754, 1, 24, 2, 7, 11
17, 218, 8.701835, 1, 30, 2, 9, 12
18, 232, 8.047414, 1, 27, 2, 9, 11
19, 226, 8.265487, 1, 24, 2, 8, 12
20, 213, 8.887324, 1, 24, 5, 9, 12
21, 254, 7.366142, 1, 23, 2, 7, 10
22, 237, 7.924051, 1, 37, 2, 7, 11
23, 200, 9.430000, 1, 27, 5, 9, 12
24, 214, 8.766355, 1, 26, 5, 8, 12
25, 203, 9.384236, 1, 27, 5, 9, 13
26, 235, 8.000000, 1, 26, 2, 8, 11
27, 213, 8.816901, 1, 29, 6, 8, 12
28, 235, 8.034043, 1, 23, 2, 7, 11
29, 218, 8.669725, 1, 27, 2, 8, 12
30, 206, 9.111650, 1, 29, 5, 9, 12
31, 224, 8.450893, 1, 24, 4, 8, 12
32, 218, 8.573394, 1, 23, 2, 8, 12
33, 248, 7.580645, 1, 26, 2, 7, 11
34, 229, 8.122271, 1, 24, 2, 8, 11
35, 203, 9.374384, 1, 24, 6, 9, 14
36, 226, 8.256637, 1, 24, 2, 8, 12
37, 225, 8.373333, 1, 23, 5, 8, 11
38, 218, 8.738532, 1, 22, 5, 9, 12
39, 200, 9.420000, 1, 28, 5, 9, 14
40, 230, 8.186957, 1, 24, 2, 8, 12
41, 269, 6.858736, 1, 22, 2, 6, 10
42, 234, 8.051282, 1, 23, 4, 8, 11
43, 257, 7.322957, 1, 24, 2, 7, 11
44, 209, 8.966507, 1, 23, 4, 9, 13
45, 227, 8.264317, 1, 21, 5, 9, 11
46, 227, 8.348018, 1, 34, 5, 8, 11
47, 235, 7.940426, 1, 21, 5, 8, 11
48, 209, 9.047847, 1, 27, 5, 8, 12
49, 212, 8.929245, 1, 27, 4, 8, 12
50, 213, 8.845070, 1, 24, 5, 9, 12
51, 206, 9.126214, 1, 22, 5, 9, 13
52, 230, 8.165217, 1, 23, 2, 8, 11
53, 233, 8.085837, 1, 26, 2, 8, 11
54, 221, 8.457014, 1, 27, 3, 8, 12
55, 220, 8.581818, 1, 27, 5, 8, 12
56, 209, 9.062201, 1, 24, 5, 9, 13
57, 217, 8.714286, 1, 27, 5, 8, 12
58, 219, 8.634703, 1, 24, 2, 9, 13
59, 229, 8.183406, 1, 32, 3, 8, 11
