time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1599, 1.949969, 1, 9, 1, 2, 3
1, 1696, 1.810731, 1, 9, 1, 2, 2
2, 1709, 1.788180, 1, 9, 1, 2, 2
3, 1611, 1.923029, 0, 9, 1, 2, 3
4, 1659, 1.859554, 1, 10, 1, 2, 3
5, 1607, 1.940884, 1, 16, 1, 2, 3
6, 1593, 1.959196, 1, 10, 1, 2, 3
7, 1643, 1.880097, 1, 10, 1, 2, 3
8, 1625, 1.913231, 1, 13, 1, 2, 3
9, 1576, 1.996193, 1, 11, 1, 2, 3
10, 1191, 2.827036, 1, 13, 2, 3, 4
11, 1472, 2.176630, 1, 11, 1, 2, 3
12, 1563, 2.010237, 1, 10, 1, 2, 3
13, 1468, 2.170981, 1, 11, 1, 2, 3
14, 1586, 1.970996, 1, 16, 1, 2, 3
15, 1591, 1.973602, 1, 10, 1, 2, 3
16, 1671, 1.840215, 1, 10, 1, 2, 3
17, 1591, 1.970459, 1, 10, 1, 2, 3
18, 1502, 2.106525, 1, 10, 1, 2, 3
19, 1397, 2.323550, 1, 12, 1, 2, 3
20, 1454, 2.185007, 1, 11, 1, 2, 3
21, 1516, 2.100264, 1, 10, 1, 2, 3
22, 1566, 1.998723, 0, 10, 1, 2, 3
23, 1622, 1.895808, 1, 10, 1, 2, 3
24, 1555, 2.011576, 1, 10, 1, 2, 3
25, 1546, 2.020699, 1, 10, 1, 2, 3
26, 1603, 1.959451, 1, 10, 1, 2, 3
27, 1328, 2.485693, 1, 14, 2, 2, 3
28, 1321, 2.501893, 1, 12, 1, 2, 3
29, 1309, 2.523300, 1, 12, 2, 2, 3
30, 1500, 2.114667, 1, 10, 1, 2, 3
31, 1477, 2.150982, 1, 10, 1, 2, 3
32, 1425, 2.249123, 1, 14, 1, 2, 3
33, 1477, 2.152336, 1, 11, 1, 2, 3
34, 1535, 2.050163, 1, 11, 1, 2, 3
35, 1525, 2.064262, 1, 13, 1, 2, 3
36, 1497, 2.123580, 1, 10, 1, 2, 3
37, 1110, 3.077477, 1, 21, 2, 3, 4
38, 1170, 2.892308, 1, 18, 2, 3, 4
39, 1450, 2.197931, 1, 12, 1, 2, 3
40, 1516, 2.081794, 1, 11, 1, 2, 3
41, 1584, 1.965278, 1, 11, 1, 2, 3
42, 1479, 2.150778, 0, 14, 1, 2, 3
43, 1480, 2.147973, 1, 14, 1, 2, 3
44, 1357, 2.386146, 1, 35, 1, 2, 3
45, 1545, 2.029126, 1, 11, 1, 2, 3
46, 1533, 2.047619, 1, 11, 1, 2, 3
47, 1528, 2.059555, 1, 11, 1, 2, 3
48, 1530, 2.056863, 1, 11, 1, 2, 3
49, 1543, 2.033701, 1, 11, 1, 2, 3
50, 1445, 2.214533, 1, 14, 1, 2, 3
51, 1424, 2.222612, 1, 12, 1, 2, 3
52, 1570, 1.991720, 1, 11, 1, 2, 3
53, 1298, 2.518490, 1, 11, 1, 2, 3
54, 1482, 2.154521, 1, 11, 1, 2, 3
55, 1441, 2.229702, 1, 22, 1, 2, 3
56, 1510, 2.078146, 1, 10, 1, 2, 3
57, 1559, 2.014753, 1, 11, 1, 2, 3
58, 1524, 2.068241, 1, 13, 1, 2, 3
59, 1367, 2.373080, 1, 14, 1, 2, 3
60, 1, 4.000000, 4, 4, 4, 4, 4
