time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1785, 1.690756, 1, 7, 1, 2, 2
1, 1845, 1.617886, 0, 7, 1, 2, 2
2, 1829, 1.648442, 0, 6, 1, 2, 2
3, 1890, 1.572487, 1, 7, 1, 2, 2
4, 1877, 1.581779, 1, 7, 1, 2, 2
5, 1866, 1.591640, 1, 7, 1, 2, 2
6, 1872, 1.591880, 1, 7, 1, 2, 2
7, 1829, 1.636960, 1, 7, 1, 2, 2
8, 1855, 1.618329, 1, 7, 1, 2, 2
9, 1855, 1.614016, 1, 7, 1, 2, 2
10, 1696, 1.808373, 1, 9, 1, 2, 2
11, 1783, 1.693214, 0, 24, 1, 2, 2
12, 1831, 1.635172, 1, 7, 1, 2, 2
13, 1840, 1.630978, 0, 7, 1, 2, 2
14, 1886, 1.586426, 1, 7, 1, 2, 2
15, 1882, 1.587673, 1, 8, 1, 2, 2
16, 1757, 1.719408, 0, 7, 1, 2, 2
17, 1548, 2.056202, 1, 8, 2, 2, 2
18, 1791, 1.673925, 1, 20, 1, 2, 2
19, 1785, 1.698599, 0, 13, 1, 2, 2
20, 1670, 1.811976, 1, 8, 1, 2, 2
21, 1805, 1.641551, 1, 8, 1, 2, 2
22, 1581, 1.975332, 1, 10, 1, 2, 2
23, 1537, 2.071568, 1, 9, 2, 2, 3
24, 1551, 2.034816, 1, 8, 2, 2, 3
25, 1771, 1.680407, 1, 8, 1, 2, 2
26, 1743, 1.726908, 1, 27, 1, 2, 2
27, 1708, 1.760539, 1, 8, 1, 2, 2
28, 1725, 1.732174, 1, 8, 1, 2, 2
29, 1379, 2.363307, 1, 8, 2, 2, 3
30, 1469, 2.171545, 1, 32, 2, 2, 3
31, 1787, 1.660325, 1, 7, 1, 2, 2
32, 1748, 1.697368, 1, 8, 1, 2, 2
33, 1662, 1.838748, 1, 8, 1, 2, 2
34, 1596, 1.932957, 1, 7, 1, 2, 2
35, 1311, 2.512586, 1, 38, 2, 2, 3
36, 1663, 1.820204, 0, 9, 1, 2, 2
37, 1692, 1.793144, 1, 8, 1, 2, 2
38, 1835, 1.601635, 1, 8, 1, 2, 2
39, 1813, 1.618312, 1, 8, 1, 2, 2
40, 1791, 1.645449, 1, 8, 1, 2, 2
41, 1789, 1.664058, 1, 8, 1, 2, 2
42, 1785, 1.658263, 1, 8, 1, 2, 2
43, 1637, 1.880269, 0, 9, 1, 2, 2
44, 1641, 1.847654, 1, 30, 1, 2, 2
45, 1783, 1.652832, 1, 8, 1, 2, 2
46, 1769, 1.680611, 1, 9, 1, 2, 2
47, 1776, 1.675113, 1, 13, 1, 2, 2
48, 1772, 1.667607, 1, 8, 1, 2, 2
49, 1794, 1.647157, 1, 8, 1, 2, 2
50, 1807, 1.630327, 1, 8, 1, 2, 2
51, 1747, 1.713223, 1, 9, 1, 2, 2
52, 1799, 1.635353, 1, 8, 1, 2, 2
53, 1776, 1.677928, 1, 9, 1, 2, 2
54, 1801, 1.642421, 1, 9, 1, 2, 2
55, 1794, 1.653289, 1, 9, 1, 2, 2
56, 1769, 1.674958, 1, 9, 1, 2, 2
57, 1758, 1.711035, 1, 9, 1, 2, 2
58, 1754, 1.693273, 1, 9, 1, 2, 2
59, 1774, 1.677565, 1, 9, 1, 2, 2
60, 13, 1.692308, 1, 2, 1, 2, 2
