time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 209, 8.956938, 1, 34, 5, 8, 12
1, 152, 11.480263, 1, 98, 3, 10, 13
2, 199, 10.552764, 1, 134, 5, 9, 13
3, 198, 9.510101, 1, 29, 3, 10, 13
4, 202, 9.331683, 1, 26, 5, 9, 12
5, 238, 7.886555, 1, 21, 2, 7, 12
6, 204, 9.328431, 1, 25, 5, 9, 13
7, 231, 8.134199, 1, 33, 2, 8, 11
8, 199, 9.442211, 1, 27, 5, 9, 14
9, 202, 9.405941, 1, 26, 5, 9, 12
10, 206, 9.189320, 1, 24, 5, 9, 12
11, 218, 8.637615, 1, 25, 2, 9, 12
12, 222, 8.504505, 1, 28, 3, 8, 11
13, 213, 8.859155, 1, 24, 2, 8, 13
14, 216, 8.652778, 1, 31, 2, 8, 12
15, 235, 7.940426, 1, 29, 2, 7, 12
16, 180, 10.461111, 1, 29, 6, 10, 15
17, 228, 8.364035, 1, 28, 2, 8, 11
18, 230, 8.082609, 1, 29, 2, 8, 11
19, 200, 9.395000, 1, 26, 5, 9, 13
20, 195, 9.907692, 1, 31, 5, 9, 14
21, 220, 8.440909, 1, 24, 3, 8, 12
22, 201, 9.542289, 1, 25, 5, 9, 13
23, 224, 8.267857, 1, 21, 2, 8, 12
24, 205, 9.219512, 1, 30, 2, 9, 13
25, 211, 8.971564, 1, 27, 2, 9, 12
26, 225, 8.346667, 1, 24, 2, 8, 12
27, 190, 9.989474, 1, 31, 6, 9, 13
28, 221, 8.520362, 1, 29, 2, 8, 12
29, 198, 9.525253, 1, 26, 5, 9, 13
30, 222, 8.558559, 1, 33, 4, 8, 12
31, 208, 8.956731, 1, 32, 3, 9, 12
32, 207, 9.246377, 1, 27, 3, 9, 13
33, 223, 8.479821, 1, 23, 5, 9, 11
34, 202, 9.396040, 1, 27, 5, 9, 13
35, 215, 8.725581, 1, 27, 2, 8, 12
36, 231, 8.086580, 1, 26, 2, 8, 11
37, 220, 8.600000, 1, 22, 5, 8, 12
38, 224, 8.473214, 1, 24, 2, 9, 12
39, 199, 9.482412, 1, 29, 2, 10, 13
40, 226, 8.349558, 1, 28, 2, 8, 11
41, 228, 8.250000, 1, 30, 2, 8, 11
42, 198, 9.585859, 1, 25, 6, 9, 14
43, 218, 8.582569, 1, 27, 5, 8, 12
44, 218, 8.628440, 1, 24, 5, 8, 12
45, 198, 9.580808, 1, 24, 6, 9, 13
46, 221, 8.552036, 1, 25, 5, 8, 13
47, 192, 9.875000, 1, 30, 6, 10, 13
48, 195, 9.738462, 1, 28, 6, 10, 14
49, 220, 8.500000, 1, 25, 2, 8, 12
50, 202, 9.400990, 1, 32, 5, 9, 13
51, 199, 9.562814, 1, 24, 5, 9, 14
52, 200, 9.390000, 1, 27, 4, 9, 14
53, 213, 8.849765, 1, 27, 3, 9, 13
54, 208, 9.129808, 1, 30, 5, 9, 12
55, 216, 8.708333, 1, 29, 4, 8, 12
56, 214, 8.813084, 1, 28, 3, 9, 12
57, 225, 8.328889, 1, 24, 5, 8, 12
58, 209, 9.019139, 1, 29, 5, 9, 13
59, 206, 9.247573, 1, 30, 5, 9, 13
60, 1, 8.000000, 8, 8, 8, 8, 8
