time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,582,6.300687,1,301,2,3,8
1,511,6.655577,1,235,2,2,8
2,500,8.062,1,331,2,3,8
3,519,7.132948,1,235,2,3,8
4,567,6.589065,1,172,2,2,8
5,625,5.8416,1,322,2,2,6
6,609,6.041051,1,223,2,2,6
7,605,5.92562,1,299,2,2,7
8,604,6.086093,1,313,2,2,7
9,575,6.474783,1,106,2,2,7
10,602,6.04485,1,184,2,2,7
11,598,6.090301,1,249,2,2,7
12,602,5.905316,1,193,2,2,6
13,605,6.366942,1,228,2,2,7
14,572,6.447552,1,346,2,2,8
15,553,6.484629,1,142,2,3,8
16,607,6.176277,1,295,2,2,7
17,558,6.249104,1,157,2,3,7
18,460,8.378261,1,535,2,3,9
19,616,6.095779,1,247,2,2,7
20,559,6.690519,1,147,2,2,7
21,584,6.178082,1,200,2,2,7
22,570,6.626316,1,191,2,2,8
23,526,6.973384,1,238,2,2,8
24,583,6.264151,1,148,2,2,7
25,591,6.262267,1,136,2,2,7
26,555,6.520721,1,189,2,2,8
27,577,6.554593,1,271,2,2,7
28,583,6.367067,1,215,2,2,7
29,570,6.163158,1,182,2,2,7
30,542,7.147601,1,195,2,3,8
31,576,6.354167,1,261,2,3,7
32,557,6.669659,1,166,2,2,8
33,558,6.603943,1,244,2,2,7
34,600,6.135,1,176,2,2,7
35,546,6.730769,1,146,2,2,8
36,559,6.479428,1,215,2,2,8
37,552,6.813406,1,149,2,3,9
38,572,6.452797,1,168,2,2,8
39,544,6.825368,1,165,2,3,9
40,579,6.210708,1,138,2,2,7
41,540,6.938889,1,411,2,3,7
42,563,6.619893,1,178,2,3,9
43,575,6.366957,1,245,2,2,7
44,564,6.443262,1,216,2,2,7
45,602,6.171096,1,327,2,2,6
46,554,6.449458,1,323,2,2,8
47,566,6.793286,1,258,2,2,8
48,587,6.180579,1,250,2,2,7
49,518,7.222008,1,304,2,3,8
50,490,7.395918,1,178,2,3,9
51,454,8.636564,1,422,2,3,9
52,568,6.47007,1,207,2,3,7
53,564,6.402482,1,163,2,3,7
54,539,6.975881,1,206,2,3,8
55,580,6.381034,1,222,2,2,7
56,508,7.346457,1,265,2,3,9
57,554,6.532491,1,184,2,3,8
58,566,6.533569,1,155,2,2,7
59,522,7.141762,1,307,2,3,8
60,4,1.5,1,2,1,1,2
,553.6229508,6.506117951,1,227.4754098,1.983606557,2.327868852,7.426229508
