time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,3350,0.565075,0,8,0,1,1
1,3366,0.560606,0,8,0,1,1
2,3453,0.531422,0,7,0,1,1
3,3395,0.550221,0,8,0,1,1
4,3298,0.588539,0,8,0,1,1
5,3363,0.575082,0,8,0,1,1
6,3445,0.543396,0,8,0,1,1
7,3466,0.516445,0,8,0,0,1
8,3440,0.527326,0,8,0,1,1
9,3401,0.545428,0,8,0,1,1
10,3415,0.54612,0,8,0,1,1
11,3195,0.61471,0,9,0,1,1
12,3149,0.612258,0,8,0,1,1
13,3118,0.627325,0,9,0,1,1
14,3193,0.583464,0,8,0,1,1
15,3151,0.607109,0,8,0,1,1
16,3157,0.601837,0,9,0,1,1
17,3135,0.620734,0,8,0,1,1
18,3135,0.617225,0,9,0,1,1
19,2914,0.802677,0,10,0,1,1
20,3014,0.695421,0,9,0,1,1
21,3124,0.622919,0,9,0,1,1
22,3149,0.614798,0,9,0,1,1
23,3088,0.63601,0,9,0,1,1
24,3152,0.618338,0,9,0,1,1
25,3123,0.612872,0,9,0,1,1
26,3152,0.60882,0,9,0,1,1
27,3155,0.618067,0,10,0,1,1
28,3129,0.625759,0,9,0,1,1
29,3101,0.642696,0,9,0,1,1
30,3129,0.622883,0,9,0,1,1
31,3114,0.634875,0,11,0,1,1
32,3111,0.619094,0,10,0,1,1
33,3147,0.622815,0,10,0,1,1
34,3110,0.639871,0,9,0,1,1
35,3068,0.663299,0,9,0,1,1
36,3097,0.646432,0,10,0,1,1
37,3143,0.622654,0,9,0,1,1
38,3066,0.655903,0,10,0,1,1
39,3114,0.633911,0,10,0,1,1
40,3068,0.659713,0,10,0,1,1
41,3071,0.6493,0,10,0,1,1
42,3100,0.643226,0,10,0,1,1
43,3060,0.657516,0,10,0,1,1
44,3079,0.651185,0,10,0,1,1
45,3095,0.642003,0,10,0,1,1
46,3075,0.645528,0,10,0,1,1
47,3083,0.664288,0,10,0,1,1
48,3051,0.665683,0,10,0,1,1
49,2999,0.696566,0,10,0,1,1
50,3082,0.654121,0,11,0,1,1
51,3033,0.696011,0,10,0,1,1
52,3051,0.665028,0,10,0,1,1
53,3020,0.675166,0,10,0,1,1
54,2964,0.717949,0,10,0,1,1
55,3051,0.669944,0,10,0,1,1
56,3023,0.690043,0,13,0,1,1
57,2611,0.952126,0,32,0,1,1
58,3045,0.673563,0,10,0,1,1
59,2996,0.705274,0,11,0,1,1
60,10,0.9,0,1,1,1,1
,3088.393443,0.638830639,0,9.524590164,0.016393443,0.983606557,1
