time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,540,6.861111,1,90,2,3,8
1,524,7.045802,1,163,2,3,8
2,577,6.391681,1,80,2,3,8
3,547,6.771481,1,68,2,3,9
4,588,6.246599,1,106,2,3,7
5,553,6.435805,1,86,2,3,8
6,535,7.239252,1,167,2,3,8
7,516,6.998062,1,176,2,3,9
8,563,6.749556,1,149,2,3,8
9,570,6.340351,1,144,2,2,8
10,546,6.921245,1,126,2,3,9
11,531,6.613936,1,148,2,3,8
12,557,7.016158,1,349,2,3,8
13,598,6.195652,1,96,2,3,7
14,569,6.358524,1,158,2,3,8
15,586,6.283276,1,167,2,2,7
16,542,6.738007,1,248,2,3,8
17,531,7.177024,1,161,2,3,8
18,511,7.156556,1,186,2,3,9
19,534,7.108614,1,196,2,3,8
20,556,6.613309,1,169,2,3,8
21,581,6.435456,1,138,2,3,7
22,557,6.454219,1,143,2,3,8
23,509,7.434185,1,148,2,3,8
24,513,7.337232,1,120,2,3,9
25,579,5.882556,1,169,2,2,7
26,572,6.947552,1,307,2,2,8
27,607,6.009885,1,122,2,2,7
28,596,6.120805,1,134,2,2,7
29,521,7.06334,1,178,2,3,9
30,569,6.676626,1,220,2,2,7
31,575,6.373913,1,122,2,2,7
32,553,6.757685,1,208,2,2,8
33,539,6.827458,1,136,2,3,8
34,603,6.185738,1,155,2,3,8
35,540,6.851852,1,163,2,3,9
36,603,5.975124,1,107,2,2,7
37,614,6.057003,1,97,2,3,7
38,606,6.120462,1,108,2,3,7
39,550,6.683636,1,165,2,3,9
40,577,6.398614,1,119,2,3,7
41,570,6.461404,1,124,2,3,8
42,584,6.203767,1,169,2,2,7
43,577,6.55286,1,151,2,3,7
44,649,5.580894,1,99,2,2,6
45,601,6.216306,1,207,2,2,8
46,613,5.882545,1,105,2,2,7
47,601,6.183028,1,214,2,2,7
48,590,6.189831,1,98,2,3,7
49,608,6.161184,1,108,2,3,7
50,541,6.833641,1,89,2,3,8
51,523,7.108987,1,123,2,3,9
52,547,6.703839,1,101,2,3,9
53,562,6.631673,1,156,2,3,8
54,550,6.674545,1,194,2,2,8
55,517,7.241779,1,139,2,3,9
56,594,6.207071,1,149,2,2,8
57,551,6.656987,1,113,2,3,8
58,513,7.220273,1,191,2,3,9
59,515,7.28932,1,126,2,3,9
,562.4,6.597587933,1,149.1333333,2,2.716666667,7.866666667
