time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,1802,1.667592,1,10,1,2,2
1,1875,1.5808,0,8,1,2,2
2,1858,1.604413,0,8,1,2,2
3,1836,1.627996,0,9,1,2,2
4,1870,1.589305,1,8,1,2,2
5,1877,1.572722,0,8,1,2,2
6,1864,1.591738,1,9,1,2,2
7,1866,1.598071,1,9,1,2,2
8,1864,1.596567,0,9,1,2,2
9,1869,1.58962,1,9,1,2,2
10,1876,1.585821,1,8,1,2,2
11,1862,1.602578,1,9,1,2,2
12,1855,1.610243,1,10,1,2,2
13,1880,1.573936,1,9,1,2,2
14,1769,1.715093,1,24,1,2,2
15,1564,2,1,123,1,2,2
16,1833,1.626841,1,8,1,2,2
17,1806,1.655039,0,9,1,2,2
18,1805,1.66205,1,9,1,2,2
19,1790,1.67933,1,10,1,2,2
20,1607,1.939639,1,11,1,2,2
21,1739,1.755032,1,9,1,2,2
22,1473,2.179905,1,11,2,2,3
23,1684,1.823634,1,10,1,2,2
24,1776,1.704955,1,9,1,2,2
25,1818,1.641914,1,9,1,2,2
26,1844,1.614967,0,10,1,2,2
27,1673,1.845786,1,9,1,2,2
28,1636,1.891809,1,16,1,2,2
29,1755,1.716239,0,9,1,2,2
30,1660,1.855422,1,10,1,2,2
31,1840,1.62337,1,9,1,2,2
32,1545,2.051133,0,12,1,2,2
33,1676,1.840692,1,11,1,2,2
34,1673,1.830245,0,10,1,2,2
35,1638,1.887057,1,13,1,2,2
36,1640,1.885366,1,9,1,2,2
37,1721,1.762929,1,9,1,2,2
38,1639,1.895058,1,10,1,2,2
39,1148,2.973868,1,16,2,3,3
40,1477,2.1652,1,10,2,2,3
41,1575,1.986032,1,12,1,2,2
42,1489,2.166555,0,11,2,2,3
43,1667,1.845231,1,10,1,2,2
44,1743,1.721744,1,10,1,2,2
45,1794,1.65942,1,9,1,2,2
46,1784,1.664798,0,10,1,2,2
47,1780,1.685955,1,9,1,2,2
48,1779,1.666105,1,11,1,2,2
49,1771,1.696217,1,11,1,2,2
50,1823,1.63412,1,11,1,2,2
51,1782,1.679574,0,10,1,2,2
52,1797,1.667223,1,13,1,2,2
53,1778,1.684477,1,10,1,2,2
54,1784,1.678812,0,11,1,2,2
55,1822,1.635016,1,11,1,2,2
56,1781,1.685008,1,11,1,2,2
57,1738,1.742808,1,16,1,2,2
58,1769,1.691351,1,9,1,2,2
59,1793,1.670385,1,10,1,2,2
60,2,2.5,2,3,2,2,3
,1713.672131,1.770078787,0.786885246,12.06557377,1.081967213,2.016393443,2.081967213
