time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6361, 0.035215, 0, 4, 0, 0, 0
1, 6275, 0.042709, 0, 5, 0, 0, 0
2, 6445, 0.033204, 0, 4, 0, 0, 0
3, 6328, 0.041087, 0, 14, 0, 0, 0
4, 6377, 0.038890, 0, 7, 0, 0, 0
5, 6525, 0.028812, 0, 4, 0, 0, 0
6, 6270, 0.040510, 0, 5, 0, 0, 0
7, 6484, 0.031154, 0, 4, 0, 0, 0
8, 6379, 0.038251, 0, 14, 0, 0, 0
9, 6420, 0.035826, 0, 6, 0, 0, 0
10, 6381, 0.041373, 0, 7, 0, 0, 0
11, 6257, 0.040435, 0, 5, 0, 0, 0
12, 6415, 0.033827, 0, 4, 0, 0, 0
13, 6381, 0.037925, 0, 9, 0, 0, 0
14, 6421, 0.035197, 0, 9, 0, 0, 0
15, 6489, 0.027277, 0, 5, 0, 0, 0
16, 6270, 0.037640, 0, 6, 0, 0, 0
17, 6412, 0.031659, 0, 5, 0, 0, 0
18, 6176, 0.057804, 0, 13, 0, 0, 0
19, 6413, 0.039763, 0, 8, 0, 0, 0
20, 6419, 0.032871, 0, 5, 0, 0, 0
21, 6222, 0.041787, 0, 6, 0, 0, 0
22, 6396, 0.032677, 0, 5, 0, 0, 0
23, 6265, 0.051237, 0, 21, 0, 0, 0
24, 6376, 0.037484, 0, 7, 0, 0, 0
25, 6413, 0.032590, 0, 5, 0, 0, 0
26, 6291, 0.037355, 0, 5, 0, 0, 0
27, 6378, 0.040138, 0, 10, 0, 0, 0
28, 6432, 0.032338, 0, 6, 0, 0, 0
29, 6389, 0.037408, 0, 6, 0, 0, 0
30, 6292, 0.049110, 0, 5, 0, 0, 0
31, 6191, 0.047327, 0, 5, 0, 0, 0
32, 6374, 0.035770, 0, 5, 0, 0, 0
33, 6076, 0.071429, 0, 15, 0, 0, 0
34, 6394, 0.038161, 0, 6, 0, 0, 0
35, 6384, 0.033051, 0, 5, 0, 0, 0
36, 6145, 0.047030, 0, 6, 0, 0, 0
37, 6411, 0.033536, 0, 5, 0, 0, 0
38, 6353, 0.041555, 0, 13, 0, 0, 0
39, 6381, 0.039022, 0, 7, 0, 0, 0
40, 6386, 0.035233, 0, 5, 0, 0, 0
41, 6195, 0.041646, 0, 5, 0, 0, 0
42, 6403, 0.032016, 0, 5, 0, 0, 0
43, 6278, 0.050335, 0, 12, 0, 0, 0
44, 6330, 0.043602, 0, 6, 0, 0, 0
45, 6384, 0.033051, 0, 5, 0, 0, 0
46, 6202, 0.043534, 0, 6, 0, 0, 0
47, 6443, 0.030886, 0, 5, 0, 0, 0
48, 6271, 0.044331, 0, 12, 0, 0, 0
49, 6399, 0.036099, 0, 7, 0, 0, 0
50, 6003, 0.065634, 0, 6, 0, 0, 0
51, 5778, 0.082901, 0, 7, 0, 0, 0
52, 5992, 0.069092, 0, 6, 0, 0, 0
53, 5647, 0.112449, 0, 14, 0, 0, 0
54, 6035, 0.066777, 0, 7, 0, 0, 0
55, 6351, 0.035900, 0, 6, 0, 0, 0
56, 6183, 0.044153, 0, 6, 0, 0, 0
57, 6389, 0.031617, 0, 6, 0, 0, 0
58, 5928, 0.081309, 0, 23, 0, 0, 0
59, 6353, 0.041240, 0, 6, 0, 0, 0
60, 10, 0.000000, 0, 0, 0, 0, 0
