time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3811, 1.509053, 1, 9, 1, 1, 2
1, 3692, 1.598321, 1, 14, 1, 1, 2
2, 3881, 1.470240, 0, 11, 1, 1, 2
3, 4069, 1.368395, 0, 7, 1, 1, 2
4, 3611, 1.648574, 1, 17, 1, 1, 2
5, 3636, 1.633938, 1, 16, 1, 1, 2
6, 4084, 1.364104, 0, 11, 1, 1, 2
7, 3934, 1.429842, 0, 9, 1, 1, 2
8, 3646, 1.640702, 1, 15, 1, 1, 2
9, 3974, 1.422748, 0, 6, 1, 1, 2
10, 4047, 1.383494, 1, 6, 1, 1, 2
11, 3618, 1.650636, 1, 16, 1, 1, 2
12, 3960, 1.428535, 0, 12, 1, 1, 2
13, 4037, 1.378499, 0, 6, 1, 1, 2
14, 3807, 1.530339, 1, 12, 1, 1, 2
15, 3791, 1.537589, 1, 11, 1, 1, 2
16, 4050, 1.379012, 0, 5, 1, 1, 2
17, 3906, 1.461086, 1, 13, 1, 1, 2
18, 3767, 1.548713, 1, 13, 1, 1, 2
19, 4092, 1.361926, 0, 5, 1, 1, 2
20, 3924, 1.455657, 1, 14, 1, 1, 2
21, 3666, 1.623568, 1, 13, 1, 1, 2
22, 4080, 1.358088, 0, 7, 1, 1, 2
23, 4025, 1.392795, 0, 8, 1, 1, 2
24, 3684, 1.603149, 1, 14, 1, 1, 2
25, 3962, 1.433619, 0, 7, 1, 1, 2
26, 4022, 1.385629, 0, 6, 1, 1, 2
27, 3715, 1.590579, 1, 16, 1, 1, 2
28, 3858, 1.490410, 1, 12, 1, 1, 2
29, 3674, 1.612684, 1, 12, 1, 1, 2
30, 3780, 1.548413, 1, 13, 1, 1, 2
31, 3612, 1.656423, 1, 13, 1, 1, 2
32, 3744, 1.568910, 0, 9, 1, 1, 2
33, 3744, 1.567041, 1, 9, 1, 1, 2
34, 3608, 1.667960, 1, 13, 1, 1, 2
35, 3761, 1.555437, 1, 9, 1, 1, 2
36, 3665, 1.623738, 1, 28, 1, 1, 2
37, 3665, 1.619645, 1, 13, 1, 1, 2
38, 3636, 1.654015, 0, 14, 1, 1, 2
39, 3684, 1.594734, 1, 10, 1, 1, 2
40, 3685, 1.603528, 1, 17, 1, 1, 2
41, 3616, 1.649336, 1, 10, 1, 1, 2
42, 3766, 1.544610, 1, 8, 1, 1, 2
43, 3757, 1.544051, 1, 13, 1, 1, 2
44, 3595, 1.662865, 1, 16, 1, 1, 2
45, 3730, 1.579088, 1, 10, 1, 1, 2
46, 3706, 1.579870, 1, 10, 1, 1, 2
47, 3533, 1.709878, 0, 17, 1, 1, 2
48, 3649, 1.627843, 1, 9, 1, 1, 2
49, 3727, 1.575798, 1, 10, 1, 1, 2
50, 3699, 1.600162, 1, 18, 1, 1, 2
51, 3673, 1.607678, 1, 17, 1, 1, 2
52, 3733, 1.583713, 1, 7, 1, 1, 2
53, 3606, 1.666389, 1, 18, 1, 1, 2
54, 3622, 1.658200, 1, 19, 1, 1, 2
55, 3724, 1.578410, 1, 7, 1, 1, 2
56, 3718, 1.593061, 1, 13, 1, 1, 2
57, 3543, 1.711544, 1, 14, 1, 1, 2
58, 3712, 1.582435, 1, 6, 1, 1, 2
59, 3697, 1.598864, 1, 8, 1, 1, 2
60, 325, 1.775385, 1, 9, 1, 1, 2
