time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2869, 0.108052, 0, 3, 0, 0, 0
1, 3016, 0.071950, 0, 2, 0, 0, 0
2, 2793, 0.121733, 0, 7, 0, 0, 0
3, 2747, 0.152530, 0, 3, 0, 0, 0
4, 2989, 0.069923, 0, 3, 0, 0, 0
5, 2760, 0.149275, 0, 3, 0, 0, 0
6, 3196, 0.034418, 0, 3, 0, 0, 0
7, 2784, 0.137213, 0, 2, 0, 0, 0
8, 2958, 0.083840, 0, 3, 0, 0, 0
9, 2806, 0.123307, 0, 3, 0, 0, 0
10, 2702, 0.155440, 0, 3, 0, 0, 0
11, 3012, 0.056441, 0, 3, 0, 0, 0
12, 2581, 0.189461, 0, 4, 0, 0, 0
13, 3153, 0.037108, 0, 3, 0, 0, 0
14, 2728, 0.152126, 0, 3, 0, 0, 0
15, 2982, 0.059356, 0, 3, 0, 0, 0
16, 2732, 0.153001, 0, 3, 0, 0, 0
17, 2946, 0.097081, 0, 3, 0, 0, 0
18, 3043, 0.054880, 0, 2, 0, 0, 0
19, 2752, 0.143532, 0, 2, 0, 0, 0
20, 3022, 0.063203, 0, 3, 0, 0, 0
21, 2583, 0.207123, 0, 3, 0, 0, 0
22, 2980, 0.070470, 0, 7, 0, 0, 0
23, 2711, 0.157875, 0, 4, 0, 0, 0
24, 3065, 0.059706, 0, 3, 0, 0, 0
25, 2747, 0.129232, 0, 7, 0, 0, 0
26, 2717, 0.155686, 0, 3, 0, 0, 0
27, 3030, 0.061386, 0, 3, 0, 0, 0
28, 2746, 0.144574, 0, 3, 0, 0, 0
29, 2990, 0.076923, 0, 2, 0, 0, 0
30, 2699, 0.164135, 0, 3, 0, 0, 0
31, 2963, 0.068512, 0, 3, 0, 0, 0
32, 2094, 0.360076, 0, 9, 0, 0, 1
33, 2623, 0.168128, 0, 3, 0, 0, 0
34, 2144, 0.331623, 0, 7, 0, 0, 0
35, 1809, 0.535655, 0, 4, 0, 0, 1
36, 2585, 0.160155, 0, 4, 0, 0, 0
37, 2590, 0.198842, 0, 3, 0, 0, 0
38, 2980, 0.064765, 0, 3, 0, 0, 0
39, 2977, 0.067182, 0, 3, 0, 0, 0
40, 2548, 0.189560, 0, 4, 0, 0, 0
41, 3077, 0.043549, 0, 3, 0, 0, 0
42, 1753, 0.609241, 0, 18, 0, 1, 1
43, 1758, 0.595563, 0, 12, 0, 1, 1
44, 1589, 0.756451, 0, 3, 0, 1, 1
45, 1806, 0.571982, 0, 5, 0, 1, 1
46, 1931, 0.450544, 0, 4, 0, 0, 1
47, 1563, 0.855406, 0, 4, 1, 1, 1
48, 2922, 0.084873, 0, 3, 0, 0, 0
49, 1873, 0.505606, 0, 7, 0, 0, 1
50, 2420, 0.207438, 0, 20, 0, 0, 0
51, 2249, 0.283237, 0, 10, 0, 0, 1
52, 2240, 0.316518, 0, 11, 0, 0, 1
53, 2716, 0.118925, 0, 5, 0, 0, 0
54, 2314, 0.284788, 0, 3, 0, 0, 1
55, 2642, 0.134368, 0, 3, 0, 0, 0
56, 1672, 0.626196, 0, 277, 0, 0, 0
57, 2361, 0.257942, 0, 3, 0, 0, 0
58, 2165, 0.329792, 0, 4, 0, 0, 1
59, 1946, 0.473279, 0, 5, 0, 0, 1
60, 19, 0.210526, 0, 1, 0, 0, 0
