time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 5176, 1.093702, 0, 6, 1, 1, 1
1, 4847, 1.189808, 0, 17, 1, 1, 1
2, 4789, 1.184381, 0, 12, 1, 1, 1
3, 4012, 1.484048, 0, 28, 1, 1, 2
4, 4127, 1.433729, 0, 12, 1, 1, 2
5, 4566, 1.247043, 0, 11, 1, 1, 1
6, 4825, 1.146736, 0, 4, 1, 1, 1
7, 4357, 1.312830, 0, 11, 1, 1, 1
8, 4501, 1.269496, 0, 13, 1, 1, 1
9, 4675, 1.192086, 0, 6, 1, 1, 1
10, 4651, 1.198237, 0, 10, 1, 1, 1
11, 4220, 1.383412, 0, 13, 1, 1, 2
12, 4750, 1.167579, 0, 9, 1, 1, 1
13, 4618, 1.211130, 0, 8, 1, 1, 1
14, 3984, 1.495733, 0, 24, 1, 1, 2
15, 4528, 1.241608, 0, 16, 1, 1, 1
16, 4729, 1.167054, 0, 5, 1, 1, 1
17, 4395, 1.307395, 0, 14, 1, 1, 1
18, 4063, 1.455082, 0, 18, 1, 1, 2
19, 4736, 1.175042, 0, 6, 1, 1, 1
20, 4665, 1.192497, 0, 10, 1, 1, 1
21, 4232, 1.378072, 0, 18, 1, 1, 2
22, 3851, 1.544794, 0, 27, 1, 1, 2
23, 4077, 1.451312, 0, 15, 1, 1, 2
24, 4185, 1.396416, 0, 15, 1, 1, 2
25, 4005, 1.480400, 0, 17, 1, 1, 2
26, 4246, 1.363401, 0, 13, 1, 1, 2
27, 3977, 1.485039, 0, 23, 1, 1, 2
28, 4293, 1.343117, 0, 10, 1, 1, 1
29, 4078, 1.441883, 0, 21, 1, 1, 2
30, 4466, 1.263995, 0, 7, 1, 1, 1
31, 4152, 1.401734, 0, 13, 1, 1, 2
32, 4068, 1.451573, 0, 16, 1, 1, 2
33, 4340, 1.328341, 0, 12, 1, 1, 2
34, 4481, 1.251506, 0, 7, 1, 1, 1
35, 4345, 1.323130, 0, 12, 1, 1, 1
36, 4589, 1.217041, 0, 7, 1, 1, 1
37, 4565, 1.226287, 0, 10, 1, 1, 1
38, 3831, 1.569564, 0, 24, 1, 1, 2
39, 4123, 1.426874, 0, 12, 1, 1, 2
40, 4471, 1.248267, 0, 9, 1, 1, 1
41, 4357, 1.303879, 0, 8, 1, 1, 1
42, 4189, 1.402960, 0, 22, 1, 1, 2
43, 4546, 1.224813, 0, 5, 1, 1, 1
44, 4689, 1.176797, 0, 4, 1, 1, 1
45, 4276, 1.348223, 0, 16, 1, 1, 1
46, 4458, 1.264693, 0, 9, 1, 1, 1
47, 4477, 1.244360, 0, 7, 1, 1, 1
48, 4252, 1.346190, 0, 16, 1, 1, 2
49, 4034, 1.470749, 0, 15, 1, 1, 2
50, 4266, 1.341538, 0, 14, 1, 1, 2
51, 4456, 1.259650, 0, 7, 1, 1, 1
52, 4187, 1.382135, 0, 18, 1, 1, 2
53, 4362, 1.303301, 0, 13, 1, 1, 1
54, 4598, 1.195085, 0, 6, 1, 1, 1
55, 4275, 1.335673, 0, 14, 1, 1, 1
56, 3997, 1.475357, 0, 15, 1, 1, 2
57, 4251, 1.349094, 0, 11, 1, 1, 2
58, 4397, 1.277007, 0, 12, 1, 1, 1
59, 4103, 1.421399, 0, 13, 1, 1, 2
60, 266, 1.394737, 1, 12, 1, 1, 1
