time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 150, 26.113333, 1, 87, 17, 22, 30
1, 153, 25.320261, 1, 129, 17, 22, 27
2, 142, 27.556338, 1, 123, 18, 23, 31
3, 150, 26.206667, 1, 116, 18, 21, 29
4, 147, 26.897959, 1, 99, 18, 22, 29
5, 157, 24.898089, 1, 115, 17, 21, 27
6, 147, 26.782313, 1, 134, 17, 22, 30
7, 165, 23.733333, 1, 93, 16, 21, 28
8, 154, 24.948052, 1, 110, 16, 21, 30
9, 145, 27.365517, 1, 105, 18, 23, 30
10, 155, 25.348387, 1, 83, 17, 21, 29
11, 147, 26.666667, 1, 103, 18, 23, 30
12, 136, 28.558824, 1, 105, 19, 23, 35
13, 150, 26.373333, 1, 95, 18, 22, 31
14, 149, 26.389262, 1, 124, 17, 22, 32
15, 168, 23.357143, 1, 79, 16, 21, 27
16, 153, 25.326797, 1, 116, 17, 22, 29
17, 163, 23.834356, 0, 177, 16, 20, 26
18, 164, 23.957317, 1, 107, 15, 21, 28
19, 148, 26.493243, 1, 139, 17, 22, 30
20, 153, 25.307190, 1, 114, 17, 21, 27
21, 156, 25.557692, 1, 167, 17, 22, 28
22, 154, 25.344156, 1, 141, 17, 21, 30
23, 129, 30.255814, 1, 164, 18, 23, 36
24, 139, 28.582734, 1, 143, 17, 23, 32
25, 149, 26.268456, 1, 112, 18, 23, 30
26, 157, 25.057325, 1, 92, 15, 20, 30
27, 160, 24.612500, 1, 106, 17, 21, 28
28, 153, 25.183007, 1, 104, 16, 21, 32
29, 155, 25.529032, 1, 135, 18, 21, 28
30, 147, 26.489796, 1, 126, 18, 22, 32
31, 161, 24.484472, 1, 105, 17, 22, 27
32, 155, 25.316129, 1, 103, 16, 22, 31
33, 164, 23.664634, 1, 113, 16, 20, 27
34, 140, 28.200000, 1, 129, 19, 24, 33
35, 161, 24.515528, 1, 80, 16, 20, 30
36, 153, 25.261438, 1, 90, 17, 21, 29
37, 160, 24.637500, 1, 68, 17, 21, 30
38, 165, 23.654545, 1, 90, 16, 20, 27
39, 156, 25.500000, 1, 171, 17, 20, 31
40, 147, 26.238095, 0, 98, 18, 22, 32
41, 147, 27.054422, 1, 87, 16, 23, 34
42, 148, 26.128378, 1, 128, 18, 22, 31
43, 152, 25.894737, 1, 78, 17, 22, 31
44, 163, 24.171779, 1, 78, 17, 21, 29
45, 148, 26.513514, 1, 116, 17, 22, 32
46, 145, 26.786207, 0, 83, 18, 24, 31
47, 147, 26.959184, 1, 138, 17, 21, 31
48, 143, 27.216783, 1, 114, 18, 22, 30
49, 150, 25.780000, 1, 82, 18, 22, 29
50, 156, 25.064103, 0, 86, 16, 22, 31
51, 163, 24.607362, 1, 114, 18, 21, 28
52, 157, 24.872611, 1, 84, 17, 21, 31
53, 152, 25.789474, 1, 80, 17, 23, 31
54, 154, 25.441558, 1, 118, 16, 21, 29
55, 150, 26.133333, 1, 140, 17, 22, 32
56, 143, 27.545455, 0, 79, 18, 23, 35
57, 151, 26.105960, 1, 87, 18, 23, 29
58, 153, 25.568627, 1, 109, 16, 21, 30
59, 163, 23.907975, 0, 86, 16, 21, 31
60, 1, 27.000000, 27, 27, 27, 27, 27
