time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 282, 3.031915, 0, 13, 1, 1, 5
1, 313, 2.648562, 0, 12, 1, 1, 5
2, 245, 3.591837, 0, 16, 1, 3, 6
3, 283, 2.968198, 0, 12, 1, 1, 5
4, 254, 3.413386, 0, 14, 1, 3, 6
5, 260, 3.296154, 0, 11, 1, 3, 6
6, 255, 3.454902, 0, 12, 1, 3, 6
7, 274, 3.138686, 0, 13, 1, 2, 5
8, 278, 3.050360, 0, 13, 1, 1, 5
9, 274, 3.124088, 0, 13, 1, 2, 6
10, 270, 3.170370, 0, 14, 1, 3, 6
11, 284, 3.007042, 0, 16, 1, 1, 5
12, 292, 2.907534, 0, 13, 1, 1, 5
13, 244, 3.635246, 0, 15, 1, 1, 6
14, 255, 3.396078, 0, 11, 1, 3, 6
15, 278, 3.053957, 0, 17, 1, 1, 5
16, 293, 2.873720, 0, 12, 0, 1, 5
17, 248, 3.479839, 0, 13, 1, 3, 6
18, 288, 2.906250, 0, 13, 1, 1, 5
19, 279, 3.082437, 0, 18, 1, 1, 5
20, 286, 2.916084, 0, 13, 1, 1, 5
21, 260, 3.280769, 0, 17, 1, 3, 6
22, 260, 3.315385, 0, 13, 1, 2, 6
23, 252, 3.436508, 0, 14, 1, 3, 6
24, 263, 3.307985, 0, 12, 1, 3, 6
25, 288, 2.920139, 0, 13, 1, 1, 5
26, 279, 3.050179, 0, 14, 1, 1, 5
27, 253, 3.422925, 0, 13, 1, 3, 6
28, 280, 3.060714, 0, 14, 1, 1, 5
29, 250, 3.448000, 0, 13, 1, 3, 6
30, 281, 3.071174, 0, 15, 1, 1, 6
31, 274, 3.105839, 0, 12, 1, 3, 5
32, 281, 3.024911, 0, 12, 1, 1, 5
33, 287, 2.972125, 0, 12, 1, 1, 5
34, 280, 3.060714, 0, 12, 1, 1, 5
35, 269, 3.171004, 0, 15, 1, 1, 5
36, 265, 3.249057, 0, 14, 1, 3, 6
37, 263, 3.269962, 0, 13, 1, 3, 5
38, 296, 2.824324, 0, 17, 0, 1, 5
39, 264, 3.223485, 0, 16, 1, 3, 5
40, 277, 3.101083, 0, 12, 1, 2, 5
41, 260, 3.303846, 0, 13, 1, 1, 6
42, 269, 3.171004, 0, 12, 1, 3, 6
43, 279, 3.071685, 0, 12, 1, 2, 5
44, 259, 3.305019, 0, 15, 1, 3, 5
45, 254, 3.401575, 0, 15, 1, 3, 6
46, 254, 3.374016, 0, 14, 1, 3, 6
47, 272, 3.165441, 0, 14, 1, 2, 6
48, 277, 3.057762, 0, 16, 1, 1, 5
49, 281, 3.056940, 0, 15, 1, 1, 5
50, 245, 3.571429, 0, 14, 1, 1, 6
51, 249, 3.481928, 0, 12, 1, 3, 6
52, 238, 3.722689, 0, 13, 1, 4, 6
53, 284, 2.978873, 0, 13, 1, 1, 5
54, 245, 3.497959, 0, 12, 1, 3, 6
55, 266, 3.229323, 0, 19, 1, 1, 6
56, 273, 3.139194, 0, 13, 1, 3, 5
57, 265, 3.233962, 0, 16, 1, 2, 5
58, 281, 2.989324, 0, 13, 0, 1, 5
59, 256, 3.390625, 0, 16, 1, 2, 6
60, 1, 1.000000, 1, 1, 1, 1, 1
