time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 231, 16.722944, 1, 85, 2, 17, 23
1, 280, 13.914286, 1, 72, 1, 14, 21
2, 240, 15.962500, 1, 72, 4, 14, 22
3, 274, 14.124088, 0, 61, 2, 14, 22
4, 230, 16.734783, 1, 75, 2, 15, 24
5, 262, 14.881679, 1, 75, 2, 14, 22
6, 265, 14.411321, 0, 89, 2, 12, 22
7, 247, 15.817814, 1, 84, 2, 15, 24
8, 253, 15.039526, 1, 69, 3, 14, 22
9, 260, 14.869231, 0, 75, 2, 13, 22
10, 286, 13.472028, 1, 66, 2, 10, 21
11, 231, 16.926407, 1, 74, 2, 16, 24
12, 281, 13.711744, 1, 81, 2, 13, 21
13, 234, 16.692308, 0, 82, 3, 15, 25
14, 266, 14.424812, 1, 69, 3, 14, 22
15, 267, 14.561798, 0, 80, 2, 12, 22
16, 264, 14.500000, 1, 113, 3, 13, 21
17, 248, 15.778226, 1, 69, 2, 15, 23
18, 252, 15.269841, 0, 76, 2, 14, 24
19, 220, 17.431818, 1, 92, 3, 16, 25
20, 272, 14.308824, 0, 74, 2, 12, 22
21, 278, 13.593525, 0, 62, 2, 12, 20
22, 265, 14.864151, 0, 95, 2, 14, 22
23, 229, 16.777293, 1, 100, 3, 14, 24
24, 224, 17.446429, 1, 79, 2, 15, 26
25, 293, 13.105802, 1, 85, 2, 11, 20
26, 231, 16.701299, 1, 85, 4, 15, 26
27, 247, 15.785425, 1, 77, 3, 15, 23
28, 242, 15.933884, 1, 82, 2, 14, 24
29, 269, 14.405204, 1, 61, 2, 15, 22
30, 251, 15.326693, 0, 64, 2, 13, 23
31, 260, 14.892308, 0, 66, 3, 13, 22
32, 280, 13.757143, 1, 81, 2, 10, 21
33, 250, 15.528000, 1, 67, 2, 15, 23
34, 239, 16.221757, 1, 88, 2, 15, 24
35, 256, 15.140625, 0, 65, 2, 14, 22
36, 265, 14.445283, 0, 72, 2, 13, 21
37, 243, 16.053498, 1, 77, 2, 15, 24
38, 269, 14.405204, 1, 71, 2, 14, 22
39, 264, 14.477273, 1, 75, 2, 13, 22
40, 234, 16.760684, 1, 83, 2, 16, 24
41, 255, 14.960784, 0, 70, 2, 14, 22
42, 277, 14.158845, 1, 65, 2, 13, 22
43, 265, 14.547170, 0, 69, 1, 12, 23
44, 261, 14.724138, 1, 65, 2, 13, 23
45, 288, 13.534722, 0, 72, 3, 10, 20
46, 238, 16.168067, 1, 89, 2, 15, 24
47, 261, 14.781609, 1, 71, 2, 14, 22
48, 252, 15.400794, 0, 63, 2, 14, 21
49, 273, 14.131868, 1, 90, 2, 13, 21
50, 227, 16.854626, 1, 118, 2, 17, 24
51, 237, 16.333333, 1, 75, 2, 16, 24
52, 261, 15.164751, 0, 80, 2, 13, 23
53, 282, 13.492908, 0, 81, 2, 11, 20
54, 260, 14.869231, 1, 67, 3, 13, 23
55, 234, 16.470085, 1, 70, 2, 15, 23
56, 248, 15.875000, 1, 73, 2, 14, 24
57, 282, 13.691489, 1, 67, 2, 13, 21
58, 256, 14.902344, 0, 80, 2, 13, 23
59, 283, 13.586572, 1, 81, 2, 11, 19
