time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4359, 1.359486, 0, 9, 1, 1, 1
1, 4200, 1.431190, 0, 13, 1, 1, 2
2, 4448, 1.330935, 0, 10, 1, 1, 1
3, 4410, 1.354875, 0, 40, 1, 1, 1
4, 4240, 1.409198, 0, 14, 1, 1, 2
5, 4286, 1.378441, 0, 19, 1, 1, 2
6, 4402, 1.314857, 0, 7, 1, 1, 1
7, 3950, 1.509620, 0, 46, 1, 1, 2
8, 4166, 1.440951, 0, 50, 1, 1, 2
9, 4402, 1.329169, 0, 9, 1, 1, 1
10, 4168, 1.415067, 0, 15, 1, 1, 2
11, 3875, 1.581161, 0, 41, 1, 1, 2
12, 4202, 1.401238, 0, 39, 1, 1, 2
13, 4329, 1.338877, 0, 13, 1, 1, 1
14, 4058, 1.467718, 0, 14, 1, 1, 2
15, 4317, 1.353718, 0, 8, 1, 1, 2
16, 4402, 1.304634, 0, 8, 1, 1, 1
17, 4153, 1.422827, 0, 16, 1, 1, 2
18, 4047, 1.467260, 0, 46, 1, 1, 2
19, 4347, 1.340005, 0, 9, 1, 1, 1
20, 4134, 1.418239, 0, 13, 1, 1, 2
21, 4071, 1.452469, 0, 15, 1, 1, 2
22, 4440, 1.305180, 0, 7, 1, 1, 1
23, 4123, 1.431482, 0, 31, 1, 1, 1
24, 3986, 1.499749, 0, 20, 1, 1, 2
25, 4068, 1.432399, 0, 9, 1, 1, 2
26, 4264, 1.372186, 0, 8, 1, 1, 2
27, 4037, 1.474610, 0, 15, 1, 1, 2
28, 4052, 1.469645, 0, 58, 1, 1, 2
29, 4299, 1.340312, 0, 8, 1, 1, 1
30, 4075, 1.464540, 0, 15, 1, 1, 2
31, 4123, 1.427359, 0, 14, 1, 1, 2
32, 4224, 1.379972, 0, 36, 1, 1, 1
33, 4171, 1.403261, 0, 13, 1, 1, 2
34, 4051, 1.453468, 0, 17, 1, 1, 2
35, 4352, 1.324219, 0, 7, 1, 1, 1
36, 4132, 1.412633, 0, 10, 1, 1, 2
37, 3887, 1.540520, 0, 40, 1, 1, 2
38, 4337, 1.338713, 0, 9, 1, 1, 1
39, 4101, 1.424287, 0, 20, 1, 1, 2
40, 3732, 1.624598, 0, 34, 1, 1, 2
41, 4188, 1.391356, 0, 8, 1, 1, 2
42, 4184, 1.400335, 0, 37, 1, 1, 1
43, 3908, 1.536592, 0, 32, 1, 1, 2
44, 4244, 1.363572, 0, 11, 1, 1, 2
45, 4284, 1.337302, 0, 10, 1, 1, 1
46, 4054, 1.459793, 0, 16, 1, 1, 2
47, 3863, 1.572094, 0, 41, 1, 1, 2
48, 4237, 1.370073, 0, 9, 1, 1, 2
49, 4158, 1.391775, 0, 9, 1, 1, 2
50, 3927, 1.512605, 0, 11, 1, 1, 2
51, 4219, 1.328751, 0, 10, 1, 1, 1
52, 4117, 1.458586, 0, 45, 1, 1, 2
53, 3826, 1.574229, 0, 18, 1, 1, 2
54, 4229, 1.363206, 0, 11, 1, 1, 2
55, 4183, 1.375090, 0, 7, 1, 1, 2
56, 3589, 1.712733, 0, 81, 1, 1, 2
57, 4010, 1.463342, 0, 11, 1, 1, 2
58, 4248, 1.373588, 0, 12, 1, 1, 2
59, 4069, 1.442369, 0, 9, 1, 1, 2
60, 43, 1.534884, 1, 4, 1, 1, 2
