time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3443, 2.355794, 0, 55, 1, 2, 3
1, 2966, 2.834120, 0, 55, 1, 2, 3
2, 3472, 2.351094, 0, 52, 1, 2, 3
3, 3678, 2.200924, 0, 37, 1, 2, 3
4, 3442, 2.375944, 0, 25, 1, 2, 3
5, 3326, 2.481960, 0, 27, 1, 2, 3
6, 3660, 2.207650, 0, 27, 1, 2, 3
7, 3700, 2.177568, 0, 26, 1, 2, 3
8, 3823, 2.084489, 1, 14, 1, 2, 2
9, 3798, 2.103476, 1, 16, 1, 2, 2
10, 3109, 2.681891, 0, 44, 1, 2, 3
11, 3348, 2.465651, 0, 85, 1, 2, 3
12, 2858, 2.943317, 0, 81, 1, 2, 3
13, 3273, 2.558815, 0, 105, 1, 2, 3
14, 3581, 2.273946, 0, 30, 1, 2, 3
15, 3361, 2.451949, 1, 31, 1, 2, 3
16, 3457, 2.350014, 1, 59, 1, 2, 3
17, 2984, 2.819705, 1, 27, 2, 2, 3
18, 3880, 2.055670, 1, 14, 1, 2, 2
19, 3212, 2.585305, 0, 73, 1, 2, 3
20, 3408, 2.400528, 0, 23, 1, 2, 3
21, 3026, 2.778586, 0, 67, 1, 2, 2
22, 4063, 1.933054, 0, 8, 1, 2, 2
23, 3772, 2.119300, 0, 17, 1, 2, 3
24, 3838, 2.071131, 0, 17, 1, 2, 2
25, 3770, 2.122016, 0, 25, 1, 2, 2
26, 3598, 2.257087, 1, 40, 1, 2, 3
27, 3779, 2.109817, 1, 24, 1, 2, 2
28, 3804, 2.099632, 0, 16, 1, 2, 3
29, 3781, 2.113198, 0, 20, 1, 2, 2
30, 3577, 2.267543, 1, 30, 1, 2, 3
31, 3950, 2.005063, 1, 17, 1, 2, 2
32, 4069, 1.934628, 0, 11, 1, 2, 2
33, 3839, 2.071633, 1, 22, 1, 2, 2
34, 3870, 2.054780, 1, 17, 1, 2, 2
35, 4007, 1.967307, 1, 9, 1, 2, 2
36, 3978, 1.975365, 1, 16, 1, 2, 2
37, 3798, 2.098736, 0, 21, 1, 2, 2
38, 4096, 1.922852, 0, 10, 1, 2, 2
39, 4108, 1.910175, 1, 7, 1, 2, 2
40, 3783, 2.107322, 1, 19, 1, 2, 2
41, 4025, 1.965217, 1, 15, 1, 2, 2
42, 4073, 1.933710, 1, 8, 1, 2, 2
43, 3830, 2.086423, 1, 16, 1, 2, 2
44, 3890, 2.042159, 1, 14, 1, 2, 2
45, 4083, 1.914034, 0, 9, 1, 2, 2
46, 3969, 1.982615, 1, 16, 1, 2, 2
47, 3791, 2.114218, 1, 19, 1, 2, 2
48, 4057, 1.937885, 1, 7, 1, 2, 2
49, 4048, 1.942194, 0, 10, 1, 2, 2
50, 3762, 2.131845, 1, 16, 1, 2, 2
51, 3994, 1.976465, 1, 13, 1, 2, 2
52, 4001, 1.970757, 1, 13, 1, 2, 2
53, 3761, 2.128157, 1, 24, 1, 2, 2
54, 3874, 2.054982, 0, 11, 1, 2, 2
55, 4007, 1.975792, 1, 9, 1, 2, 2
56, 3844, 2.068678, 0, 17, 1, 2, 2
57, 3745, 2.153805, 1, 17, 1, 2, 3
58, 4017, 1.971621, 0, 8, 1, 2, 2
59, 3913, 2.027600, 1, 14, 1, 2, 2
60, 175, 2.182857, 1, 15, 1, 2, 2
