time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4311, 1.313152, 0, 11, 1, 1, 1
1, 4521, 1.223623, 0, 6, 1, 1, 1
2, 4373, 1.293849, 0, 12, 1, 1, 1
3, 4291, 1.327896, 0, 12, 1, 1, 2
4, 4636, 1.176230, 0, 7, 1, 1, 1
5, 4387, 1.286984, 0, 14, 1, 1, 1
6, 4214, 1.352397, 0, 16, 1, 1, 2
7, 4555, 1.217124, 0, 9, 1, 1, 1
8, 4409, 1.275800, 0, 10, 1, 1, 1
9, 4131, 1.399903, 0, 13, 1, 1, 2
10, 4564, 1.200482, 0, 5, 1, 1, 1
11, 4481, 1.229859, 0, 9, 1, 1, 1
12, 4181, 1.384597, 0, 11, 1, 1, 2
13, 4459, 1.245346, 1, 6, 1, 1, 1
14, 4501, 1.216396, 0, 10, 1, 1, 1
15, 4134, 1.410740, 0, 13, 1, 1, 2
16, 4394, 1.266500, 1, 8, 1, 1, 1
17, 4516, 1.215678, 1, 5, 1, 1, 1
18, 4164, 1.382565, 0, 13, 1, 1, 2
19, 4338, 1.297372, 0, 12, 1, 1, 2
20, 4417, 1.250396, 0, 6, 1, 1, 1
21, 4260, 1.334742, 1, 11, 1, 1, 2
22, 4188, 1.366285, 1, 13, 1, 1, 2
23, 4412, 1.254533, 0, 8, 1, 1, 1
24, 4152, 1.386802, 0, 11, 1, 1, 2
25, 4181, 1.370964, 1, 16, 1, 1, 2
26, 4489, 1.220094, 0, 4, 1, 1, 1
27, 4297, 1.305795, 1, 12, 1, 1, 2
28, 4105, 1.403167, 1, 11, 1, 1, 2
29, 4520, 1.218584, 0, 8, 1, 1, 1
30, 4388, 1.259799, 0, 7, 1, 1, 1
31, 4009, 1.445498, 1, 11, 1, 1, 2
32, 4358, 1.275126, 0, 7, 1, 1, 2
33, 4387, 1.257579, 1, 5, 1, 1, 1
34, 3987, 1.467269, 1, 18, 1, 1, 2
35, 4387, 1.266469, 0, 7, 1, 1, 1
36, 4369, 1.262303, 1, 5, 1, 1, 1
37, 4038, 1.444279, 0, 15, 1, 1, 2
38, 4264, 1.312852, 0, 6, 1, 1, 2
39, 4050, 1.420247, 0, 9, 1, 1, 2
40, 4098, 1.412152, 0, 16, 1, 1, 2
41, 4176, 1.357519, 0, 11, 1, 1, 2
42, 4398, 1.256480, 0, 5, 1, 1, 1
43, 4181, 1.349199, 0, 12, 1, 1, 2
44, 4084, 1.402547, 1, 13, 1, 1, 2
45, 4378, 1.261763, 0, 6, 1, 1, 1
46, 4070, 1.421622, 0, 15, 1, 1, 2
47, 3830, 1.566841, 0, 15, 1, 1, 2
48, 4157, 1.357710, 0, 10, 1, 1, 2
49, 4336, 1.274677, 0, 12, 1, 1, 2
50, 4187, 1.353236, 0, 10, 1, 1, 2
51, 3983, 1.451921, 1, 11, 1, 1, 2
52, 4349, 1.260980, 0, 5, 1, 1, 1
53, 4178, 1.345859, 1, 10, 1, 1, 2
54, 3963, 1.462024, 1, 18, 1, 1, 2
55, 4307, 1.286975, 0, 5, 1, 1, 2
56, 4229, 1.317096, 0, 18, 1, 1, 2
57, 3881, 1.511724, 1, 13, 1, 1, 2
58, 3877, 1.500387, 0, 8, 1, 1, 2
59, 4286, 1.288147, 0, 7, 1, 1, 2
60, 29, 1.275862, 1, 2, 1, 1, 2
