time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 94, 20.627660, 3, 70, 3, 17, 36
1, 87, 22.643678, 3, 74, 4, 24, 36
2, 107, 17.887850, 3, 64, 3, 4, 33
3, 95, 20.578947, 2, 57, 4, 20, 34
4, 102, 18.980392, 3, 68, 3, 13, 35
5, 103, 19.029126, 3, 52, 4, 17, 33
6, 87, 22.471264, 3, 67, 4, 22, 35
7, 84, 22.642857, 3, 71, 5, 19, 38
8, 98, 20.173469, 3, 90, 4, 5, 35
9, 92, 21.391304, 3, 68, 4, 23, 36
10, 97, 20.226804, 3, 52, 4, 23, 32
11, 101, 18.514851, 3, 68, 3, 16, 31
12, 76, 26.460526, 3, 73, 4, 25, 42
13, 106, 18.330189, 3, 64, 4, 5, 33
14, 119, 16.067227, 3, 85, 3, 4, 25
15, 89, 21.853933, 3, 57, 4, 24, 32
16, 97, 20.319588, 3, 76, 4, 20, 33
17, 108, 17.953704, 3, 64, 3, 6, 33
18, 98, 20.122449, 3, 70, 3, 13, 37
19, 95, 20.136842, 3, 78, 3, 14, 35
20, 108, 18.009259, 3, 69, 3, 4, 34
21, 108, 18.129630, 3, 80, 3, 10, 29
22, 82, 23.451220, 3, 62, 4, 27, 36
23, 92, 21.510870, 3, 77, 4, 26, 35
24, 90, 21.677778, 3, 75, 3, 21, 38
25, 98, 19.775510, 3, 56, 3, 14, 37
26, 107, 17.700935, 3, 63, 4, 11, 30
27, 81, 24.876543, 3, 80, 4, 27, 41
28, 97, 19.762887, 3, 90, 4, 17, 33
29, 96, 20.760417, 3, 62, 4, 23, 34
30, 88, 21.636364, 3, 78, 4, 19, 35
31, 94, 21.010638, 3, 56, 4, 18, 38
32, 105, 18.390476, 2, 67, 3, 12, 33
33, 109, 17.660550, 3, 63, 4, 7, 31
34, 114, 17.289474, 3, 67, 4, 7, 30
35, 100, 19.320000, 2, 59, 4, 19, 32
36, 97, 19.762887, 3, 66, 4, 14, 35
37, 95, 20.978947, 3, 92, 4, 8, 38
38, 94, 20.638298, 3, 79, 4, 22, 34
39, 103, 18.728155, 3, 55, 3, 15, 32
40, 97, 20.298969, 3, 80, 4, 17, 36
41, 100, 19.490000, 3, 54, 3, 20, 34
42, 108, 17.833333, 2, 61, 3, 11, 31
43, 102, 19.401961, 3, 55, 4, 15, 33
44, 104, 18.509615, 3, 55, 4, 14, 32
45, 57, 34.228070, 3, 143, 5, 31, 61
46, 107, 18.158879, 3, 64, 4, 13, 31
47, 110, 17.354545, 3, 61, 4, 7, 29
48, 92, 21.782609, 3, 91, 4, 19, 34
49, 107, 17.971963, 3, 96, 3, 5, 31
50, 115, 16.400000, 2, 62, 3, 5, 32
51, 101, 19.297030, 3, 67, 4, 19, 31
52, 87, 22.770115, 3, 61, 4, 24, 38
53, 107, 18.149533, 3, 99, 3, 13, 30
54, 104, 18.653846, 2, 62, 4, 9, 35
55, 88, 21.681818, 3, 64, 4, 19, 37
56, 98, 20.438776, 3, 82, 4, 15, 36
57, 90, 21.700000, 3, 54, 4, 21, 35
58, 91, 21.637363, 2, 60, 3, 23, 35
59, 110, 17.445455, 3, 52, 3, 15, 30
