time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1302, 3.313364, 1, 37, 2, 2, 3
1, 1318, 3.264795, 1, 47, 2, 2, 3
2, 1267, 3.391476, 1, 37, 2, 2, 3
3, 1241, 3.526994, 1, 45, 2, 2, 3
4, 1272, 3.360063, 1, 42, 2, 2, 3
5, 1149, 3.689295, 1, 40, 2, 3, 3
6, 1216, 11.967928, 1, 10423, 2, 2, 3
7, 1206, 3.649254, 1, 53, 2, 3, 3
8, 1277, 3.364135, 1, 40, 2, 2, 3
9, 1248, 6.617788, 1, 3923, 2, 2, 3
10, 1341, 3.219239, 1, 46, 2, 2, 3
11, 1299, 3.333333, 1, 62, 2, 2, 3
12, 1272, 3.401730, 1, 49, 2, 2, 3
13, 1284, 3.382399, 1, 48, 2, 2, 3
14, 1287, 3.373737, 1, 45, 2, 2, 3
15, 1307, 3.297628, 1, 68, 2, 2, 3
16, 1380, 3.108696, 1, 46, 2, 2, 3
17, 1277, 3.374315, 1, 67, 2, 2, 3
18, 1296, 3.352623, 1, 45, 2, 2, 3
19, 1073, 3.756757, 1, 43, 2, 3, 3
20, 1240, 11.896774, 1, 10514, 2, 2, 3
21, 1217, 3.589154, 1, 52, 2, 3, 3
22, 1215, 3.590947, 1, 49, 2, 3, 3
23, 1318, 3.267830, 1, 59, 2, 2, 3
24, 1182, 3.727580, 1, 48, 2, 3, 3
25, 1245, 3.497189, 1, 46, 2, 2, 3
26, 1270, 3.401575, 1, 47, 2, 2, 3
27, 1238, 3.535541, 1, 42, 2, 2, 3
28, 1243, 3.513274, 1, 56, 2, 2, 3
29, 1026, 3.951267, 1, 42, 2, 3, 3
30, 1209, 12.167080, 1, 10456, 2, 2, 3
31, 1210, 3.633884, 1, 40, 2, 3, 3
32, 1263, 3.413302, 1, 45, 2, 2, 3
33, 1239, 3.560129, 1, 49, 2, 2, 3
34, 1233, 3.536902, 1, 40, 2, 2, 3
35, 1254, 3.485646, 1, 42, 2, 2, 3
36, 1266, 3.436019, 1, 54, 2, 3, 3
37, 1283, 3.359314, 1, 40, 2, 2, 3
38, 1252, 3.463259, 1, 41, 2, 2, 3
39, 1022, 14.115460, 1, 10388, 2, 3, 3
40, 1273, 3.395915, 1, 43, 2, 2, 3
41, 1241, 3.516519, 1, 44, 2, 3, 3
42, 1265, 3.407115, 1, 43, 2, 2, 3
43, 1269, 3.442080, 1, 43, 2, 3, 3
44, 1260, 7.745238, 1, 5412, 2, 3, 3
45, 1225, 4.183673, 1, 756, 2, 3, 3
46, 1228, 3.547231, 1, 41, 2, 2, 3
47, 1252, 3.468051, 1, 50, 2, 2, 3
48, 1213, 3.609233, 1, 49, 2, 3, 3
49, 1265, 3.444269, 1, 43, 2, 2, 3
50, 1178, 3.704584, 1, 47, 2, 3, 3
51, 1187, 3.712721, 1, 46, 2, 3, 3
52, 1229, 3.565500, 1, 41, 2, 2, 3
53, 1217, 9.939195, 1, 7763, 2, 3, 3
54, 1227, 3.570497, 1, 43, 2, 2, 3
55, 1207, 3.636288, 1, 41, 2, 3, 3
56, 1233, 3.533658, 1, 54, 2, 2, 3
57, 1275, 3.374902, 1, 52, 2, 2, 3
58, 1206, 3.656716, 1, 53, 2, 3, 3
59, 1220, 3.580328, 1, 39, 2, 3, 3
60, 43, 3.186047, 2, 34, 2, 2, 3
