time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 534, 5.054307, 1, 30, 2, 3, 7
1, 422, 11.966825, 1, 1438, 2, 3, 9
2, 545, 6.875229, 1, 405, 2, 3, 7
3, 586, 6.189420, 1, 898, 2, 3, 5
4, 461, 7.965293, 1, 655, 2, 3, 9
5, 557, 6.824057, 1, 753, 2, 3, 5
6, 508, 6.218504, 1, 222, 2, 3, 8
7, 619, 4.355412, 1, 26, 2, 2, 4
8, 491, 10.594705, 1, 1620, 2, 3, 8
9, 590, 4.666102, 1, 106, 2, 3, 5
10, 545, 8.093578, 1, 1076, 2, 3, 7
11, 564, 6.618794, 1, 436, 2, 3, 6
12, 556, 7.176259, 1, 1299, 2, 3, 6
13, 475, 7.301053, 1, 228, 2, 3, 8
14, 482, 8.026971, 1, 459, 2, 3, 8
15, 569, 5.797891, 1, 472, 2, 3, 5
16, 549, 7.153005, 1, 951, 2, 3, 7
17, 563, 6.667851, 1, 524, 2, 2, 7
18, 533, 7.185741, 1, 506, 2, 3, 6
19, 433, 8.933025, 1, 367, 2, 3, 10
20, 598, 4.493311, 1, 25, 2, 3, 5
21, 451, 9.534368, 1, 1236, 2, 3, 9
22, 475, 8.511579, 1, 567, 2, 3, 8
23, 467, 7.719486, 1, 344, 2, 3, 9
24, 382, 11.102094, 1, 571, 2, 3, 11
25, 515, 6.996117, 1, 413, 2, 3, 6
26, 569, 5.815466, 1, 394, 2, 3, 6
27, 436, 9.807339, 1, 889, 2, 3, 9
28, 534, 6.966292, 1, 552, 2, 3, 7
29, 557, 4.845601, 1, 25, 2, 3, 6
30, 569, 8.033392, 1, 1383, 2, 3, 6
31, 556, 6.708633, 1, 599, 2, 2, 6
32, 539, 6.397032, 1, 387, 2, 3, 6
33, 566, 6.030035, 1, 689, 2, 3, 7
34, 548, 7.844891, 1, 726, 2, 3, 7
35, 477, 7.893082, 1, 617, 2, 3, 8
36, 489, 6.701431, 1, 323, 2, 3, 8
37, 433, 9.780600, 1, 548, 2, 3, 9
38, 523, 7.206501, 1, 558, 2, 3, 6
39, 516, 7.271318, 1, 538, 2, 3, 7
40, 591, 4.549915, 1, 24, 2, 3, 6
41, 553, 4.891501, 1, 34, 2, 3, 6
42, 570, 9.617544, 1, 2734, 2, 3, 6
43, 509, 6.624754, 1, 314, 2, 3, 8
44, 592, 6.136824, 1, 622, 2, 3, 5
45, 535, 7.257944, 1, 843, 2, 3, 6
46, 517, 7.831721, 1, 656, 2, 3, 7
47, 470, 8.044681, 1, 415, 2, 3, 9
48, 430, 8.527907, 1, 239, 2, 3, 10
49, 419, 9.145585, 1, 483, 2, 3, 9
50, 508, 5.870079, 1, 219, 2, 3, 8
51, 491, 8.215886, 1, 988, 2, 3, 7
52, 529, 8.126654, 1, 932, 2, 3, 7
53, 570, 6.312281, 1, 797, 2, 3, 6
54, 569, 6.356766, 1, 515, 2, 3, 6
55, 573, 6.739965, 1, 761, 2, 3, 6
56, 527, 5.254269, 1, 58, 2, 3, 7
57, 562, 7.953737, 1, 1110, 2, 3, 5
58, 506, 7.345850, 1, 511, 2, 3, 7
59, 447, 8.832215, 1, 489, 2, 3, 9
60, 4, 11.250000, 2, 37, 2, 3, 20
