time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 114, 16.850877, 2, 57, 4, 5, 31
1, 90, 21.888889, 2, 75, 3, 22, 36
2, 68, 28.382353, 3, 129, 5, 24, 43
3, 67, 29.432836, 3, 82, 4, 31, 50
4, 81, 23.962963, 2, 70, 4, 25, 39
5, 97, 20.288660, 2, 87, 3, 20, 32
6, 92, 20.760870, 3, 70, 4, 17, 34
7, 96, 20.760417, 3, 84, 4, 17, 33
8, 94, 20.276596, 3, 54, 3, 19, 37
9, 83, 24.072289, 3, 67, 3, 27, 39
10, 79, 24.708861, 3, 74, 4, 27, 39
11, 84, 23.380952, 3, 75, 4, 20, 38
12, 97, 20.216495, 3, 51, 3, 22, 34
13, 87, 22.310345, 3, 61, 4, 22, 37
14, 99, 19.131313, 3, 78, 4, 13, 34
15, 112, 17.758929, 2, 99, 3, 10, 31
16, 79, 24.341772, 3, 95, 4, 7, 41
17, 51, 38.019608, 4, 153, 5, 35, 56
18, 69, 29.043478, 3, 145, 4, 8, 44
19, 75, 25.920000, 3, 81, 4, 21, 46
20, 80, 24.925000, 3, 95, 4, 17, 45
21, 88, 22.011364, 3, 81, 4, 19, 37
22, 99, 19.656566, 3, 62, 4, 5, 36
23, 102, 18.960784, 3, 73, 3, 18, 30
24, 87, 22.126437, 3, 101, 4, 19, 34
25, 82, 24.121951, 3, 83, 4, 28, 35
26, 93, 20.967742, 3, 80, 4, 21, 36
27, 85, 22.764706, 3, 69, 4, 24, 37
28, 80, 24.137500, 3, 72, 4, 23, 41
29, 90, 22.300000, 3, 75, 4, 18, 38
30, 93, 20.881720, 3, 64, 4, 22, 34
31, 88, 22.181818, 3, 69, 4, 20, 38
32, 88, 22.000000, 3, 61, 4, 22, 37
33, 85, 23.000000, 3, 59, 4, 23, 37
34, 71, 27.591549, 3, 98, 4, 28, 45
35, 63, 30.079365, 3, 81, 5, 31, 48
36, 68, 30.102941, 3, 124, 4, 14, 50
37, 78, 25.179487, 3, 131, 4, 22, 40
38, 78, 24.897436, 4, 94, 4, 6, 43
39, 79, 24.759494, 3, 99, 5, 6, 43
40, 54, 24.648148, 2, 111, 5, 8, 40
41, 0, NaN, NaN, NaN, NaN, NaN, NaN
42, 0, NaN, NaN, NaN, NaN, NaN, NaN
43, 53, 123.962264, 3, 2612, 5, 26, 45
44, 78, 25.641026, 3, 92, 4, 24, 45
45, 101, 19.415842, 3, 83, 4, 16, 33
46, 79, 24.063291, 3, 93, 5, 8, 43
47, 47, 41.425532, 4, 179, 6, 32, 58
48, 83, 24.301205, 3, 96, 4, 18, 43
49, 82, 23.792683, 3, 73, 4, 17, 39
50, 105, 18.742857, 2, 88, 4, 5, 33
51, 78, 24.974359, 2, 75, 4, 24, 40
52, 79, 21.594937, 3, 58, 4, 20, 37
53, 77, 28.363636, 3, 328, 3, 21, 34
54, 99, 19.858586, 3, 81, 4, 11, 34
55, 106, 18.349057, 3, 65, 4, 4, 34
56, 104, 18.384615, 2, 77, 3, 4, 32
57, 110, 17.900000, 2, 57, 3, 12, 32
58, 94, 20.585106, 3, 97, 3, 16, 37
59, 102, 18.529412, 2, 67, 3, 12, 33
60, 2, 16.500000, 3, 30, 3, 16, 30
