time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,454,10924,5306,39686,7835,10114,13359
10,506,19653,5164,49215,7353,9357,12105
15,521,28663,5031,51440,7076,8653,11582
20,450,44275,5046,186398,7512,9904,12977
25,489,50956,5142,76071,7396,9413,12151
30,470,63620,5053,92515,7788,9825,12683
35,450,77542,5244,76855,7710,9857,13073
40,523,76263,5014,41152,7184,8944,11500
45,565,79428,4959,46836,6664,7954,10036
50,613,81353,5003,28257,6588,7560,9052
55,573,95741,4919,48198,6888,8126,9718
